Course Name,Course Date,Homework Item, HW Due Date,Status,Comments,Submission

algebra,November_02,8.3 #15 – 33m3,HW Due Date,,,Not submitted
algebra,November_02,Continue working on your Q2 Survey Project - Q2 Survey Preliminary Survey Components DUE next class,HW Due Date,,,Not submitted
algebra,November_06,5.2 #18 - 42m3,HW Due Date,,,Not submitted
algebra,November_06,5.3 #18 - 42m3,HW Due Date,,,Not submitted
chemistry,November_03,Physical and chemical lab due on Thursday; 10/9,HW Due Date,,,Not submitted
chemistry,November_03,Quiz next class on electrons in atoms,HW Due Date,,,Not submitted
history,November_02,Complete the Unit Study Guide in anticipation of the Unit Examination next class.,HW Due Date,,,Not submitted
english,November_02,Complete…,HW Due Date,,,Not submitted
english,November_02,Finish reading Oedipus Pt 1 lines 1-143,HW Due Date,,,Not submitted
english,November_02,Answer questions:,HW Due Date,,,Not submitted
english,November_02,What happened before the play started?,HW Due Date,,,Not submitted
english,November_02,What is currently happening in Thebes? Why?,HW Due Date,,,Not submitted
english,November_02,How does Oedipus view himself? How do others view him?,HW Due Date,,,Not submitted
english,November_02,How does Oedipus feel right now?,HW Due Date,,,Not submitted
english,November_02,What does Oedipus plan to do? How do you think that will turn out?,HW Due Date,,,Not submitted
english,November_02,Predict: What is going to happen in the next scene?,HW Due Date,,,Not submitted
english,November_02,These are due next class period!,HW Due Date,,,Not submitted
mandarin,November_02,Character Practice Book: page 56 – 60,HW Due Date,,,Not submitted
mandarin,November_02,Workbook: page 71 – 74,HW Due Date,,,Not submitted
mandarin,November_02,Worksheet: build the sentences with Language Patterns,HW Due Date,,,Not submitted
mandarin,November_03,Q and A sheet for Unit 6 lesson A,HW Due Date,,,Not submitted
mandarin,November_03,Workbook: page 75-77,HW Due Date,,,Not submitted
3D,November_02,Sketchbook Assignment,HW Due Date,,,Not submitted
algebra,November_02,8.3 #15 – 33m3,HW Due Date,,,Not submitted
algebra,November_02,Continue working on your Q2 Survey Project - Q2 Survey Preliminary Survey Components DUE next class,HW Due Date,,,Not submitted
algebra,November_06,5.2 #18 - 42m3,HW Due Date,,,Not submitted
algebra,November_06,5.3 #18 - 42m3,HW Due Date,,,Not submitted